コード,銘柄名,2026/08/04,2026/08/03,2026/07/31,2026/07/30,2026/07/29,2026/07/28,2026/07/27,2026/07/26,2026/07/23,2026/07/22,2026/07/21,2026/07/17,2026/07/15,2026/07/14,2026/07/13,2026/07/10,2026/07/09,2026/07/08,2026/07/07,2026/07/06,2026/07/03,2026/07/02,2026/07/01,2026/06/30,2026/06/29,2026/06/26,2026/06/25,2026/06/24,2026/06/23,2026/06/22,2026/06/19,2026/06/18,2026/06/17,2026/06/16,2026/06/15,2026/06/12,2026/06/11,2026/06/10,2026/06/08,2026/06/05,2026/06/04,2026/06/03,2026/06/02,2026/05/29,2026/05/28,2026/05/27,2026/05/25,2026/05/22,2026/05/21,2026/05/20,2026/05/19,2026/05/18,2026/05/15,2026/05/14,2026/05/13,2026/05/12,2026/05/11,2026/05/08,2026/05/07,2026/05/01,2026/04/30,2026/04/28,2026/04/27,2026/04/24,2026/04/23,2026/04/22,2026/04/21,2026/04/20,2026/04/17,2026/04/16,2026/04/15,2026/04/14,2026/04/13,2026/04/10
TOPX,TOPIX,3969.23,3965.39,4052.27,3982.7,3990.49,4042.49,4066.26,4019.57,4066.98,4070.43,4014.95,4017.29,4088.12,4047.12,4073.79,4061,4035.46,4065.09,4137.62,4109.6099999999997,4064.6,4052.98,4050.33,4020.32,3995.57,4016.25,4032.66,4007.63,4097.01,4103.76,4086.96,4088.25,4035.32,4008.81,4032.39,3924.34,3836.12,3894.24,3923.62,3966.32,3970.82,4015.72,3924.26,3984.58,3915.5,3971.77,3953.89,3905.13,3878.24,3852.29,3877.84,3870.65,3927.98,3919.72,,,,,,,,,,,,,,,,,,,,
5706,三井金属,32030,31270,31970,28080,28435,29995,32230,33660,35210,35290,31400,30760,35830,35090,37100,37640,36120,36080,37640,39060,38860,41540,44590,43020,42500,45570,47690,48370,54440,53570,50670,49700,48750,48750,46950,44240,37840,39110,41930,45130,47390,50870,53290,51920,51140,57700,53990,50610,48130,45110,48200,49590,51200,53340,55860,52970,53200,50000,48060,42950,42880,41670,40050,39290,39060,38570,37550,36650,37600,38050,39830,38730,36980,37200
5423,東京製鐵,1713,1763,1784,1773,1805,1793,1744,1714,1726,1735,1753,1789,1781,1789,1750,1730,1750,1770,1768,1778,1750,1723,1714,1697,1692,1691,1719,1737,1798,1807,1770,1793,1788,1750,1760,1750,1690,1684,1735,1703,1727,1719,1704,1758,1714,1727,1732,1755,1775,1758,1814,1821,1887,1850,1724,1700,1678,1710,1707,1697,1713,1706,1750,1802,1804,1840,1862,1813,1799,1793,1740,1755,1745,1794
5713,住友鉱山,8115,8022,8292,7502,7453,7502,7787,7722,7952,7686,7317,7100,7509,7450,7382,7366,7354,7579,7849,8090,7969,7739,7551,7610,7617,7763,7900,8282,8939,8934,8990,9406,9255,9340,9244,8674,7796,8026,8211,8792,8929,9382,8880,9222,9450,10360,9940,9636,9387,9201,9558,10010,11180,11140,11145,10995,10765,10615,10140,9629,9474,9989,9777,9864,10315,10050,10290,10215,10780,11050,11150,10415,10180,10085
5711,三菱マテリアル,4204,4193,4248,4026,4065,4154,4242,4249,4333,4330,4124,4110,4313,4160,4140,4092,4075,4356,4600,4654,4566,4499,4399,4400,4331,4453,4638,4693,4950,4990,4908,4968,4965,5050,5007,4648,4443,4592,4750,4957,5074,5298,5066,5263,5224,5565,5280,5142,4946,4879,5050,5264,5516,5646,6113,5838,5698,5562,5353,5153,5092,5227,5236,5328,5435,5460,5581,5595,5739,5784,5795,5742,5580,5615
5714,ＤＯＷＡホールディングス,8305,8207,8343,8116,8123,8243,8432,8391,8601,8657,8327,8245,8530,8419,8506,8490,8429,8598,8891,9020,8971,8918,8749,8850,8870,8806,9001,9250,9744,9763,9607,9864,9927,9915,9919,9464,8955,9159,9718,10105,10180,10570,10275,10700,10805,11170,11090,10485,10355,10235,11125,11550,12380,10555,10685,10640,10565,10180,9878,9574,9566,9740,9653,9742,9903,9827,9998,10040,10215,10385,10295,10060,9791,9900
6701,日本電気,4818,4832,4858,5104,4613,4508,4445,4279,4295,4369,4497,4472,4312,4525,4355,4368,4422,4444,4409,4355,4307,4298,4037,4074,4050,3818,3822,3885,3726,3778,3789,4020,3891,3860,3930,4027,4107,4080,4236,4315,4292,4314,4470,4277,4201,4154,4143,4155,4245,4312,4372,4184,4142,4115,4359,4172,4172,4246,4110,4092,4202,4602,4707,4613,4448,4530,4493,4358,4430,4447,4323,4173,3931,3981
1605,ＩＮＰＥＸ,3528,3601,3641,3678,3651,3607,3726,3761,3697,3634,3580,3457,3528,3550,3419,3407,3470,3412,3330,3316,3261,3238,3297,3294,3324,3351,3412,3458,3475,3502,3500,3505,3428,3475,3636,3588,3649,3553,3690,3726,3660,3732,3597,3643,3722,3727,3791,3849,3934,4026,4049,4002,3921,4007,4007,3988,3910,3820,3912,4165,4180,4123,3984,4098,3988,3912,3885,3959,4029,4063,4133,4232,4388,4259
5703,日本軽金属ＨＤ,2885,2970,2748,2634,2638,2685,2694,2680,2729,2750,2711,2706,2798,2770,2746,2735,2667,2686,2775,2800,2774,2754,2764,2825,2850,2885,2888,2970,3035,3035,3000,3005,3065,3085,3130,3105,3005,3140,3205,3255,3275,3290,3190,3270,3195,3325,3330,3140,3125,3070,3140,3200,3260,3080,2965,2971,2966,2928,2939,2834,2854,2880,2909,2879,2918,2939,3025,3005,3035,3050,3090,3095,3030,3000
8002,丸紅,5079,5351,5251,5241,5309,5425,5479,5422,5412,5338,5194,5176,5132,4942,4960,4920,4935,5086,5162,5084,4984,4877,4701,4730,4803,4768,4757,4795,4947,4930,4907,4993,5019,5058,5174,4951,4825,4880,4996,5089,5065,5039,4940,5259,5264,5411,5367,5356,5477,5486,5725,5849,6078,5928,5818,5608,5509,5535,5749,6160,6099,6106,5966,6075,5986,5961,6020,5973,6040,6049,6018,6033,6010,6071
